age,income,occupation,gender,state,category,disability,scheme_id,label
38,194952,salaried,male,Maharashtra,EWS,yes,27,1
62,689000,student,male,Maharashtra,OBC,yes,2,0
62,689000,student,male,Maharashtra,OBC,yes,4,0
62,689000,student,male,Maharashtra,OBC,yes,16,0
62,689000,student,male,Maharashtra,OBC,yes,19,0
62,689000,student,male,Maharashtra,OBC,yes,20,0
40,862058,government_employee,female,Maharashtra,OBC,yes,19,0
40,862058,government_employee,female,Maharashtra,OBC,yes,23,1
40,862058,government_employee,female,Maharashtra,OBC,yes,24,1
29,165090,retired,male,Maharashtra,ST,no,1,0
29,165090,retired,male,Maharashtra,ST,no,3,1
29,165090,retired,male,Maharashtra,ST,no,26,0
69,635071,government_employee,male,Maharashtra,EWS,no,5,0
69,635071,government_employee,male,Maharashtra,EWS,no,9,0
69,635071,government_employee,male,Maharashtra,EWS,no,10,0
69,635071,government_employee,male,Maharashtra,EWS,no,27,0
39,926797,farmer,male,Maharashtra,ST,yes,5,0
39,926797,farmer,male,Maharashtra,ST,yes,19,0
39,926797,farmer,male,Maharashtra,ST,yes,26,0
55,414911,salaried,female,Maharashtra,SC,no,7,0
55,414911,salaried,female,Maharashtra,SC,no,8,1
55,414911,salaried,female,Maharashtra,SC,no,10,0
55,414911,salaried,female,Maharashtra,SC,no,18,0
55,414911,salaried,female,Maharashtra,SC,no,19,0
55,414911,salaried,female,Maharashtra,SC,no,23,1
55,414911,salaried,female,Maharashtra,SC,no,24,1
55,414911,salaried,female,Maharashtra,SC,no,25,0
33,197986,self_employed,female,Maharashtra,General,no,1,1
33,197986,self_employed,female,Maharashtra,General,no,3,1
33,197986,self_employed,female,Maharashtra,General,no,4,1
33,197986,self_employed,female,Maharashtra,General,no,6,1
33,197986,self_employed,female,Maharashtra,General,no,8,1
33,197986,self_employed,female,Maharashtra,General,no,10,1
33,197986,self_employed,female,Maharashtra,General,no,14,0
33,197986,self_employed,female,Maharashtra,General,no,24,0
33,197986,self_employed,female,Maharashtra,General,no,28,1
68,537775,self_employed,female,Maharashtra,SC,yes,8,1
68,537775,self_employed,female,Maharashtra,SC,yes,25,0
68,537775,self_employed,female,Maharashtra,SC,yes,26,0
68,537775,self_employed,female,Maharashtra,SC,yes,27,0
35,413745,farmer,female,Maharashtra,OBC,no,2,1
35,413745,farmer,female,Maharashtra,OBC,no,21,1
35,413745,farmer,female,Maharashtra,OBC,no,22,1
54,855598,self_employed,male,Maharashtra,ST,yes,4,1
54,855598,self_employed,male,Maharashtra,ST,yes,5,0
54,855598,self_employed,male,Maharashtra,ST,yes,8,0
54,855598,self_employed,male,Maharashtra,ST,yes,16,0
54,855598,self_employed,male,Maharashtra,ST,yes,28,0
50,708774,farmer,male,Maharashtra,EWS,yes,1,0
50,708774,farmer,male,Maharashtra,EWS,yes,11,0
50,708774,farmer,male,Maharashtra,EWS,yes,15,0
50,708774,farmer,male,Maharashtra,EWS,yes,22,1
60,562128,retired,male,Maharashtra,General,no,3,0
60,562128,retired,male,Maharashtra,General,no,6,0
60,562128,retired,male,Maharashtra,General,no,8,0
60,562128,retired,male,Maharashtra,General,no,11,0
60,562128,retired,male,Maharashtra,General,no,14,1
69,652656,retired,female,Maharashtra,OBC,yes,3,0
69,652656,retired,female,Maharashtra,OBC,yes,14,1
69,652656,retired,female,Maharashtra,OBC,yes,21,0
60,121271,business,female,Maharashtra,OBC,yes,1,1
60,121271,business,female,Maharashtra,OBC,yes,3,1
60,121271,business,female,Maharashtra,OBC,yes,4,1
60,121271,business,female,Maharashtra,OBC,yes,7,0
60,121271,business,female,Maharashtra,OBC,yes,12,1
60,121271,business,female,Maharashtra,OBC,yes,13,1
60,121271,business,female,Maharashtra,OBC,yes,25,0
60,121271,business,female,Maharashtra,OBC,yes,26,0
60,121271,business,female,Maharashtra,OBC,yes,27,1
60,121271,business,female,Maharashtra,OBC,yes,28,1
20,600106,business,female,Maharashtra,SC,no,4,1
20,600106,business,female,Maharashtra,SC,no,7,1
68,519288,government_employee,male,Maharashtra,SC,no,26,0
69,105332,self_employed,male,Maharashtra,EWS,yes,3,1
69,105332,self_employed,male,Maharashtra,EWS,yes,8,1
69,105332,self_employed,male,Maharashtra,EWS,yes,12,1
69,105332,self_employed,male,Maharashtra,EWS,yes,13,0
69,105332,self_employed,male,Maharashtra,EWS,yes,19,0
69,105332,self_employed,male,Maharashtra,EWS,yes,27,1
50,213393,farmer,female,Maharashtra,EWS,yes,2,1
50,213393,farmer,female,Maharashtra,EWS,yes,3,1
50,213393,farmer,female,Maharashtra,EWS,yes,12,1
50,213393,farmer,female,Maharashtra,EWS,yes,18,0
50,213393,farmer,female,Maharashtra,EWS,yes,21,1
50,213393,farmer,female,Maharashtra,EWS,yes,22,1
50,213393,farmer,female,Maharashtra,EWS,yes,23,0
50,213393,farmer,female,Maharashtra,EWS,yes,27,1
42,176475,unemployed,male,Maharashtra,General,no,2,0
42,176475,unemployed,male,Maharashtra,General,no,3,1
42,176475,unemployed,male,Maharashtra,General,no,10,1
42,176475,unemployed,male,Maharashtra,General,no,26,0
39,893734,government_employee,male,Maharashtra,EWS,no,9,0
39,893734,government_employee,male,Maharashtra,EWS,no,23,1
27,783614,unemployed,female,Maharashtra,OBC,no,6,1
27,783614,unemployed,female,Maharashtra,OBC,no,10,1
27,783614,unemployed,female,Maharashtra,OBC,no,13,0
27,783614,unemployed,female,Maharashtra,OBC,no,21,0
58,303875,unemployed,female,Maharashtra,ST,no,6,0
58,303875,unemployed,female,Maharashtra,ST,no,27,0
56,850655,retired,female,Maharashtra,OBC,no,12,0
56,850655,retired,female,Maharashtra,OBC,no,17,0
56,850655,retired,female,Maharashtra,OBC,no,20,0
25,863481,student,male,Maharashtra,ST,yes,1,0
21,193776,government_employee,male,Maharashtra,OBC,yes,3,1
21,193776,government_employee,male,Maharashtra,OBC,yes,4,0
21,193776,government_employee,male,Maharashtra,OBC,yes,10,0
21,193776,government_employee,male,Maharashtra,OBC,yes,12,1
21,193776,government_employee,male,Maharashtra,OBC,yes,14,0
21,193776,government_employee,male,Maharashtra,OBC,yes,15,0
21,193776,government_employee,male,Maharashtra,OBC,yes,23,1
21,193776,government_employee,male,Maharashtra,OBC,yes,27,1
36,212809,self_employed,male,Maharashtra,General,yes,1,1
36,212809,self_employed,male,Maharashtra,General,yes,3,1
36,212809,self_employed,male,Maharashtra,General,yes,4,1
36,212809,self_employed,male,Maharashtra,General,yes,6,1
36,212809,self_employed,male,Maharashtra,General,yes,8,1
36,212809,self_employed,male,Maharashtra,General,yes,10,1
36,212809,self_employed,male,Maharashtra,General,yes,12,1
36,212809,self_employed,male,Maharashtra,General,yes,21,0
36,212809,self_employed,male,Maharashtra,General,yes,23,0
36,212809,self_employed,male,Maharashtra,General,yes,27,1
65,243141,salaried,female,Maharashtra,OBC,yes,3,1
65,243141,salaried,female,Maharashtra,OBC,yes,8,1
65,243141,salaried,female,Maharashtra,OBC,yes,12,1
65,243141,salaried,female,Maharashtra,OBC,yes,13,0
65,243141,salaried,female,Maharashtra,OBC,yes,14,0
65,243141,salaried,female,Maharashtra,OBC,yes,22,0
65,243141,salaried,female,Maharashtra,OBC,yes,27,1
56,567089,farmer,female,Maharashtra,ST,no,6,0
56,567089,farmer,female,Maharashtra,ST,no,8,0
56,567089,farmer,female,Maharashtra,ST,no,9,0
56,567089,farmer,female,Maharashtra,ST,no,13,0
56,567089,farmer,female,Maharashtra,ST,no,14,0
56,567089,farmer,female,Maharashtra,ST,no,16,0
56,567089,farmer,female,Maharashtra,ST,no,18,0
56,567089,farmer,female,Maharashtra,ST,no,21,1
56,567089,farmer,female,Maharashtra,ST,no,22,1
18,566189,unemployed,male,Maharashtra,OBC,yes,4,0
18,566189,unemployed,male,Maharashtra,OBC,yes,6,1
18,566189,unemployed,male,Maharashtra,OBC,yes,10,1
18,566189,unemployed,male,Maharashtra,OBC,yes,15,0
18,566189,unemployed,male,Maharashtra,OBC,yes,16,0
18,566189,unemployed,male,Maharashtra,OBC,yes,27,0
64,330043,retired,female,Maharashtra,OBC,no,8,0
64,330043,retired,female,Maharashtra,OBC,no,14,1
64,330043,retired,female,Maharashtra,OBC,no,15,0
46,25789,farmer,female,Maharashtra,General,yes,2,1
46,25789,farmer,female,Maharashtra,General,yes,3,1
46,25789,farmer,female,Maharashtra,General,yes,10,0
46,25789,farmer,female,Maharashtra,General,yes,12,1
46,25789,farmer,female,Maharashtra,General,yes,16,0
46,25789,farmer,female,Maharashtra,General,yes,21,1
46,25789,farmer,female,Maharashtra,General,yes,22,1
46,25789,farmer,female,Maharashtra,General,yes,27,1
36,236780,unemployed,female,Maharashtra,OBC,no,3,1
36,236780,unemployed,female,Maharashtra,OBC,no,6,1
36,236780,unemployed,female,Maharashtra,OBC,no,10,1
36,236780,unemployed,female,Maharashtra,OBC,no,19,1
36,236780,unemployed,female,Maharashtra,OBC,no,23,0
36,236780,unemployed,female,Maharashtra,OBC,no,27,0
51,2425,government_employee,female,Maharashtra,ST,yes,3,1
51,2425,government_employee,female,Maharashtra,ST,yes,12,1
51,2425,government_employee,female,Maharashtra,ST,yes,13,1
51,2425,government_employee,female,Maharashtra,ST,yes,20,0
51,2425,government_employee,female,Maharashtra,ST,yes,23,1
51,2425,government_employee,female,Maharashtra,ST,yes,24,1
51,2425,government_employee,female,Maharashtra,ST,yes,27,1
37,75009,student,female,Maharashtra,ST,no,3,1
37,75009,student,female,Maharashtra,ST,no,4,0
37,75009,student,female,Maharashtra,ST,no,13,1
37,75009,student,female,Maharashtra,ST,no,22,0
37,75009,student,female,Maharashtra,ST,no,23,0
64,676312,government_employee,male,Maharashtra,General,no,3,0
64,676312,government_employee,male,Maharashtra,General,no,20,0
64,676312,government_employee,male,Maharashtra,General,no,23,0
56,707984,unemployed,female,Maharashtra,OBC,yes,4,0
56,707984,unemployed,female,Maharashtra,OBC,yes,8,0
56,707984,unemployed,female,Maharashtra,OBC,yes,9,0
56,707984,unemployed,female,Maharashtra,OBC,yes,15,0
56,707984,unemployed,female,Maharashtra,OBC,yes,18,0
18,68946,salaried,male,Maharashtra,OBC,yes,3,1
18,68946,salaried,male,Maharashtra,OBC,yes,6,0
18,68946,salaried,male,Maharashtra,OBC,yes,8,1
18,68946,salaried,male,Maharashtra,OBC,yes,12,1
18,68946,salaried,male,Maharashtra,OBC,yes,23,1
18,68946,salaried,male,Maharashtra,OBC,yes,27,1
25,352458,farmer,female,Maharashtra,OBC,no,2,1
25,352458,farmer,female,Maharashtra,OBC,no,4,0
25,352458,farmer,female,Maharashtra,OBC,no,7,0
25,352458,farmer,female,Maharashtra,OBC,no,19,0
25,352458,farmer,female,Maharashtra,OBC,no,21,1
25,352458,farmer,female,Maharashtra,OBC,no,22,1
29,418262,salaried,male,Maharashtra,ST,yes,4,0
29,418262,salaried,male,Maharashtra,ST,yes,6,0
29,418262,salaried,male,Maharashtra,ST,yes,8,1
29,418262,salaried,male,Maharashtra,ST,yes,23,1
29,418262,salaried,male,Maharashtra,ST,yes,25,0
29,418262,salaried,male,Maharashtra,ST,yes,27,1
70,316823,farmer,male,Maharashtra,ST,no,2,1
70,316823,farmer,male,Maharashtra,ST,no,19,0
57,961819,business,male,Maharashtra,ST,no,1,0
57,961819,business,male,Maharashtra,ST,no,4,1
57,961819,business,male,Maharashtra,ST,no,12,0
57,961819,business,male,Maharashtra,ST,no,18,0
57,961819,business,male,Maharashtra,ST,no,21,0
57,961819,business,male,Maharashtra,ST,no,26,0
23,521085,self_employed,female,Maharashtra,OBC,no,4,1
23,521085,self_employed,female,Maharashtra,OBC,no,6,1
23,521085,self_employed,female,Maharashtra,OBC,no,8,1
23,521085,self_employed,female,Maharashtra,OBC,no,10,1
23,521085,self_employed,female,Maharashtra,OBC,no,15,0
57,944388,retired,female,Maharashtra,ST,no,15,0
57,944388,retired,female,Maharashtra,ST,no,22,0
27,393392,salaried,male,Maharashtra,ST,yes,8,1
27,393392,salaried,male,Maharashtra,ST,yes,23,1
27,393392,salaried,male,Maharashtra,ST,yes,25,0
27,393392,salaried,male,Maharashtra,ST,yes,27,1
48,216130,farmer,female,Maharashtra,ST,yes,2,1
48,216130,farmer,female,Maharashtra,ST,yes,3,1
48,216130,farmer,female,Maharashtra,ST,yes,12,1
48,216130,farmer,female,Maharashtra,ST,yes,13,0
48,216130,farmer,female,Maharashtra,ST,yes,21,1
48,216130,farmer,female,Maharashtra,ST,yes,22,1
48,216130,farmer,female,Maharashtra,ST,yes,23,0
48,216130,farmer,female,Maharashtra,ST,yes,25,0
48,216130,farmer,female,Maharashtra,ST,yes,27,1
46,331546,retired,male,Maharashtra,ST,no,4,0
46,331546,retired,male,Maharashtra,ST,no,13,0
25,615697,retired,male,Maharashtra,SC,no,7,0
25,615697,retired,male,Maharashtra,SC,no,8,0
47,563587,government_employee,male,Maharashtra,EWS,no,7,0
47,563587,government_employee,male,Maharashtra,EWS,no,9,0
47,563587,government_employee,male,Maharashtra,EWS,no,11,0
47,563587,government_employee,male,Maharashtra,EWS,no,22,0
47,563587,government_employee,male,Maharashtra,EWS,no,23,1
47,563587,government_employee,male,Maharashtra,EWS,no,24,1
57,282740,unemployed,male,Maharashtra,EWS,yes,1,0
57,282740,unemployed,male,Maharashtra,EWS,yes,11,0
57,282740,unemployed,male,Maharashtra,EWS,yes,12,1
57,282740,unemployed,male,Maharashtra,EWS,yes,17,0
57,282740,unemployed,male,Maharashtra,EWS,yes,22,0
57,282740,unemployed,male,Maharashtra,EWS,yes,23,0
57,282740,unemployed,male,Maharashtra,EWS,yes,27,1
70,891486,student,male,Maharashtra,EWS,yes,4,0
70,891486,student,male,Maharashtra,EWS,yes,8,0
70,891486,student,male,Maharashtra,EWS,yes,11,0
70,891486,student,male,Maharashtra,EWS,yes,17,0
70,891486,student,male,Maharashtra,EWS,yes,22,0
24,654333,salaried,male,Maharashtra,SC,no,4,0
24,654333,salaried,male,Maharashtra,SC,no,6,0
24,654333,salaried,male,Maharashtra,SC,no,18,0
24,654333,salaried,male,Maharashtra,SC,no,23,1
34,893189,government_employee,female,Maharashtra,EWS,no,23,1
68,266823,self_employed,male,Maharashtra,ST,yes,4,0
68,266823,self_employed,male,Maharashtra,ST,yes,8,1
68,266823,self_employed,male,Maharashtra,ST,yes,12,1
68,266823,self_employed,male,Maharashtra,ST,yes,14,0
68,266823,self_employed,male,Maharashtra,ST,yes,27,1
23,542617,government_employee,female,Maharashtra,SC,yes,5,0
23,542617,government_employee,female,Maharashtra,SC,yes,16,0
23,542617,government_employee,female,Maharashtra,SC,yes,23,1
42,992480,self_employed,male,Maharashtra,ST,no,3,0
42,992480,self_employed,male,Maharashtra,ST,no,4,1
42,992480,self_employed,male,Maharashtra,ST,no,10,0
42,992480,self_employed,male,Maharashtra,ST,no,14,0
21,291504,unemployed,female,Maharashtra,ST,yes,4,0
21,291504,unemployed,female,Maharashtra,ST,yes,6,1
21,291504,unemployed,female,Maharashtra,ST,yes,10,1
21,291504,unemployed,female,Maharashtra,ST,yes,11,1
21,291504,unemployed,female,Maharashtra,ST,yes,12,1
21,291504,unemployed,female,Maharashtra,ST,yes,13,0
21,291504,unemployed,female,Maharashtra,ST,yes,14,0
21,291504,unemployed,female,Maharashtra,ST,yes,15,1
21,291504,unemployed,female,Maharashtra,ST,yes,16,1
21,291504,unemployed,female,Maharashtra,ST,yes,19,1
21,291504,unemployed,female,Maharashtra,ST,yes,20,1
21,291504,unemployed,female,Maharashtra,ST,yes,27,1
62,117003,business,female,Maharashtra,OBC,yes,3,1
62,117003,business,female,Maharashtra,OBC,yes,4,1
62,117003,business,female,Maharashtra,OBC,yes,12,1
62,117003,business,female,Maharashtra,OBC,yes,13,1
62,117003,business,female,Maharashtra,OBC,yes,15,0
62,117003,business,female,Maharashtra,OBC,yes,23,0
62,117003,business,female,Maharashtra,OBC,yes,27,1
68,315917,retired,female,Maharashtra,General,yes,1,0
68,315917,retired,female,Maharashtra,General,yes,10,0
68,315917,retired,female,Maharashtra,General,yes,14,1
68,315917,retired,female,Maharashtra,General,yes,27,1
19,248597,salaried,female,Maharashtra,SC,no,3,1
19,248597,salaried,female,Maharashtra,SC,no,8,1
19,248597,salaried,female,Maharashtra,SC,no,20,0
19,248597,salaried,female,Maharashtra,SC,no,23,1
19,248597,salaried,female,Maharashtra,SC,no,24,0
64,154620,government_employee,male,Maharashtra,SC,yes,3,1
64,154620,government_employee,male,Maharashtra,SC,yes,6,0
64,154620,government_employee,male,Maharashtra,SC,yes,9,0
64,154620,government_employee,male,Maharashtra,SC,yes,10,0
64,154620,government_employee,male,Maharashtra,SC,yes,11,0
64,154620,government_employee,male,Maharashtra,SC,yes,12,1
64,154620,government_employee,male,Maharashtra,SC,yes,27,1
65,634563,student,male,Maharashtra,EWS,no,6,0
65,634563,student,male,Maharashtra,EWS,no,9,0
65,634563,student,male,Maharashtra,EWS,no,14,0
65,634563,student,male,Maharashtra,EWS,no,18,0
65,634563,student,male,Maharashtra,EWS,no,22,0
41,695719,student,male,Maharashtra,EWS,no,1,0
41,695719,student,male,Maharashtra,EWS,no,5,0
41,695719,student,male,Maharashtra,EWS,no,8,0
41,695719,student,male,Maharashtra,EWS,no,20,0
41,695719,student,male,Maharashtra,EWS,no,25,0
20,35203,student,female,Maharashtra,OBC,yes,2,0
20,35203,student,female,Maharashtra,OBC,yes,3,1
20,35203,student,female,Maharashtra,OBC,yes,5,1
20,35203,student,female,Maharashtra,OBC,yes,11,1
20,35203,student,female,Maharashtra,OBC,yes,12,1
20,35203,student,female,Maharashtra,OBC,yes,13,1
20,35203,student,female,Maharashtra,OBC,yes,15,1
20,35203,student,female,Maharashtra,OBC,yes,17,1
20,35203,student,female,Maharashtra,OBC,yes,18,1
20,35203,student,female,Maharashtra,OBC,yes,20,1
20,35203,student,female,Maharashtra,OBC,yes,27,1
20,35203,student,female,Maharashtra,OBC,yes,28,0
42,119279,business,male,Maharashtra,OBC,yes,1,1
42,119279,business,male,Maharashtra,OBC,yes,3,1
42,119279,business,male,Maharashtra,OBC,yes,4,1
42,119279,business,male,Maharashtra,OBC,yes,6,0
42,119279,business,male,Maharashtra,OBC,yes,12,1
42,119279,business,male,Maharashtra,OBC,yes,14,0
42,119279,business,male,Maharashtra,OBC,yes,27,1
42,119279,business,male,Maharashtra,OBC,yes,28,0
59,994847,self_employed,male,Maharashtra,General,yes,4,1
59,994847,self_employed,male,Maharashtra,General,yes,19,0
59,994847,self_employed,male,Maharashtra,General,yes,23,0
59,994847,self_employed,male,Maharashtra,General,yes,25,0
59,994847,self_employed,male,Maharashtra,General,yes,26,0
59,994847,self_employed,male,Maharashtra,General,yes,28,0
41,849633,self_employed,female,Maharashtra,OBC,yes,4,1
41,849633,self_employed,female,Maharashtra,OBC,yes,13,0
41,849633,self_employed,female,Maharashtra,OBC,yes,16,0
51,108219,student,female,Maharashtra,EWS,no,3,1
51,108219,student,female,Maharashtra,EWS,no,6,0
51,108219,student,female,Maharashtra,EWS,no,13,1
51,108219,student,female,Maharashtra,EWS,no,23,0
51,108219,student,female,Maharashtra,EWS,no,25,0
44,406581,government_employee,female,Maharashtra,SC,no,5,0
44,406581,government_employee,female,Maharashtra,SC,no,23,1
44,406581,government_employee,female,Maharashtra,SC,no,24,1
59,327404,retired,female,Maharashtra,SC,yes,15,0
59,327404,retired,female,Maharashtra,SC,yes,26,0
59,327404,retired,female,Maharashtra,SC,yes,27,1
32,195104,student,female,Maharashtra,EWS,no,2,0
32,195104,student,female,Maharashtra,EWS,no,3,1
32,195104,student,female,Maharashtra,EWS,no,7,0
32,195104,student,female,Maharashtra,EWS,no,11,1
32,195104,student,female,Maharashtra,EWS,no,13,1
32,195104,student,female,Maharashtra,EWS,no,14,0
32,195104,student,female,Maharashtra,EWS,no,15,1
32,195104,student,female,Maharashtra,EWS,no,17,0
32,195104,student,female,Maharashtra,EWS,no,20,1
32,195104,student,female,Maharashtra,EWS,no,26,0
36,938405,government_employee,female,Maharashtra,EWS,yes,7,0
36,938405,government_employee,female,Maharashtra,EWS,yes,18,0
36,938405,government_employee,female,Maharashtra,EWS,yes,23,1
36,938405,government_employee,female,Maharashtra,EWS,yes,24,0
41,227523,government_employee,female,Maharashtra,OBC,yes,2,0
41,227523,government_employee,female,Maharashtra,OBC,yes,3,1
41,227523,government_employee,female,Maharashtra,OBC,yes,12,1
41,227523,government_employee,female,Maharashtra,OBC,yes,21,0
41,227523,government_employee,female,Maharashtra,OBC,yes,23,1
41,227523,government_employee,female,Maharashtra,OBC,yes,24,1
41,227523,government_employee,female,Maharashtra,OBC,yes,27,1
41,227523,government_employee,female,Maharashtra,OBC,yes,28,0
38,206894,government_employee,male,Maharashtra,General,yes,3,1
38,206894,government_employee,male,Maharashtra,General,yes,5,0
38,206894,government_employee,male,Maharashtra,General,yes,8,0
38,206894,government_employee,male,Maharashtra,General,yes,12,1
38,206894,government_employee,male,Maharashtra,General,yes,17,0
38,206894,government_employee,male,Maharashtra,General,yes,23,1
38,206894,government_employee,male,Maharashtra,General,yes,27,1
38,206894,government_employee,male,Maharashtra,General,yes,28,0
63,169251,unemployed,female,Maharashtra,ST,no,3,1
63,169251,unemployed,female,Maharashtra,ST,no,4,0
63,169251,unemployed,female,Maharashtra,ST,no,9,1
63,169251,unemployed,female,Maharashtra,ST,no,13,1
63,169251,unemployed,female,Maharashtra,ST,no,24,0
65,737837,retired,female,Maharashtra,SC,yes,5,0
65,737837,retired,female,Maharashtra,SC,yes,7,0
65,737837,retired,female,Maharashtra,SC,yes,14,1
65,737837,retired,female,Maharashtra,SC,yes,15,0
34,167721,salaried,female,Maharashtra,OBC,no,3,1
34,167721,salaried,female,Maharashtra,OBC,no,7,0
34,167721,salaried,female,Maharashtra,OBC,no,8,1
34,167721,salaried,female,Maharashtra,OBC,no,13,1
34,167721,salaried,female,Maharashtra,OBC,no,14,0
34,167721,salaried,female,Maharashtra,OBC,no,23,1
64,723214,business,female,Maharashtra,SC,no,4,1
64,723214,business,female,Maharashtra,SC,no,6,0
64,723214,business,female,Maharashtra,SC,no,7,1
64,723214,business,female,Maharashtra,SC,no,8,0
64,723214,business,female,Maharashtra,SC,no,15,0
64,723214,business,female,Maharashtra,SC,no,18,0
64,723214,business,female,Maharashtra,SC,no,19,0
64,723214,business,female,Maharashtra,SC,no,23,0
60,906920,business,male,Maharashtra,SC,yes,2,0
60,906920,business,male,Maharashtra,SC,yes,4,1
60,906920,business,male,Maharashtra,SC,yes,20,0
60,906920,business,male,Maharashtra,SC,yes,27,0
46,437332,government_employee,male,Maharashtra,EWS,yes,1,0
46,437332,government_employee,male,Maharashtra,EWS,yes,16,0
46,437332,government_employee,male,Maharashtra,EWS,yes,23,1
46,437332,government_employee,male,Maharashtra,EWS,yes,24,1
46,437332,government_employee,male,Maharashtra,EWS,yes,27,1
70,271072,self_employed,male,Maharashtra,General,no,8,1
70,271072,self_employed,male,Maharashtra,General,no,20,0
70,271072,self_employed,male,Maharashtra,General,no,27,0
70,271072,self_employed,male,Maharashtra,General,no,28,0
54,850830,business,female,Maharashtra,ST,yes,4,1
54,850830,business,female,Maharashtra,ST,yes,7,1
54,850830,business,female,Maharashtra,ST,yes,26,0
51,960966,retired,female,Maharashtra,General,no,12,0
51,960966,retired,female,Maharashtra,General,no,26,0
44,919966,unemployed,female,Maharashtra,OBC,no,21,0
44,919966,unemployed,female,Maharashtra,OBC,no,27,0
53,689671,business,female,Maharashtra,OBC,no,4,1
53,689671,business,female,Maharashtra,OBC,no,11,0
53,689671,business,female,Maharashtra,OBC,no,25,0
53,689671,business,female,Maharashtra,OBC,no,28,0
22,706893,retired,male,Maharashtra,EWS,yes,9,0
22,706893,retired,male,Maharashtra,EWS,yes,18,0
22,706893,retired,male,Maharashtra,EWS,yes,22,0
22,706893,retired,male,Maharashtra,EWS,yes,23,0
22,706893,retired,male,Maharashtra,EWS,yes,28,0
18,914702,salaried,male,Maharashtra,OBC,no,6,0
18,914702,salaried,male,Maharashtra,OBC,no,23,1
26,70553,self_employed,male,Maharashtra,OBC,yes,1,1
